Target,Debtor,Scholarship holder,Course,Admission grade,Curricular units 1st sem (grade),Curricular units 2nd sem (grade)
Dropout,0,0,171,D: SUFFICIENT,F: FAIL,F: FAIL
Graduate,0,0,9254,C: GOOD,C: GOOD,C: GOOD
Dropout,0,0,9070,D: SUFFICIENT,F: FAIL,F: FAIL
Graduate,0,0,9773,D: SUFFICIENT,C: GOOD,D: SUFFICIENT
Graduate,0,0,8014,C: GOOD,D: SUFFICIENT,C: GOOD
Graduate,1,0,9991,D: SUFFICIENT,D: SUFFICIENT,D: SUFFICIENT
Graduate,0,1,9500,D: SUFFICIENT,C: GOOD,C: GOOD
Dropout,0,0,9254,D: SUFFICIENT,F: FAIL,F: FAIL
Graduate,0,1,9238,D: SUFFICIENT,C: GOOD,C: GOOD
Dropout,1,0,9238,D: SUFFICIENT,D: SUFFICIENT,C: GOOD
Graduate,0,0,9670,C: GOOD,D: SUFFICIENT,C: GOOD
Graduate,0,1,9500,D: SUFFICIENT,C: GOOD,C: GOOD
Dropout,0,0,9853,C: GOOD,F: FAIL,F: FAIL
Graduate,0,1,9254,D: SUFFICIENT,E: PASS,D: SUFFICIENT
Graduate,0,1,9085,C: GOOD,C: GOOD,D: SUFFICIENT
Dropout,0,0,9773,D: SUFFICIENT,C: GOOD,F: FAIL
Enrolled,0,0,9238,C: GOOD,D: SUFFICIENT,D: SUFFICIENT
Graduate,0,0,9500,D: SUFFICIENT,C: GOOD,C: GOOD
Graduate,0,0,9130,C: GOOD,D: SUFFICIENT,D: SUFFICIENT
Enrolled,0,0,9853,D: SUFFICIENT,D: SUFFICIENT,C: GOOD
Graduate,0,1,171,D: SUFFICIENT,F: FAIL,F: FAIL
Enrolled,0,0,9556,D: SUFFICIENT,D: SUFFICIENT,D: SUFFICIENT
Graduate,0,0,9500,D: SUFFICIENT,D: SUFFICIENT,D: SUFFICIENT
Graduate,0,1,9670,D: SUFFICIENT,C: GOOD,D: SUFFICIENT
Graduate,0,0,9500,D: SUFFICIENT,C: GOOD,C: GOOD
Enrolled,1,1,9238,B: VERY GOOD,D: SUFFICIENT,D: SUFFICIENT
Graduate,0,0,9238,D: SUFFICIENT,D: SUFFICIENT,C: GOOD
Enrolled,0,0,9085,C: GOOD,D: SUFFICIENT,C: GOOD
Graduate,0,0,9147,D: SUFFICIENT,D: SUFFICIENT,D: SUFFICIENT
Enrolled,0,0,9500,D: SUFFICIENT,D: SUFFICIENT,C: GOOD
Enrolled,0,0,9003,B: VERY GOOD,D: SUFFICIENT,E: PASS
Graduate,0,0,9070,C: GOOD,D: SUFFICIENT,C: GOOD
Enrolled,0,0,9147,C: GOOD,D: SUFFICIENT,C: GOOD
Graduate,0,0,8014,C: GOOD,D: SUFFICIENT,C: GOOD
Graduate,0,0,9991,C: GOOD,D: SUFFICIENT,C: GOOD
Dropout,1,0,33,E: PASS,F: FAIL,E: PASS
Dropout,0,0,9119,D: SUFFICIENT,F: FAIL,F: FAIL
Dropout,0,0,9147,D: SUFFICIENT,E: PASS,D: SUFFICIENT
Graduate,0,0,9991,D: SUFFICIENT,D: SUFFICIENT,D: SUFFICIENT
Dropout,1,0,9130,D: SUFFICIENT,D: SUFFICIENT,D: SUFFICIENT
Dropout,1,0,9773,D: SUFFICIENT,D: SUFFICIENT,F: FAIL
Graduate,0,0,9147,D: SUFFICIENT,C: GOOD,B: VERY GOOD
Graduate,0,0,9500,E: PASS,C: GOOD,C: GOOD
Dropout,0,0,9773,D: SUFFICIENT,C: GOOD,C: GOOD
Dropout,0,0,9991,E: PASS,F: FAIL,F: FAIL
Enrolled,0,0,9991,C: GOOD,D: SUFFICIENT,C: GOOD
Graduate,0,0,9238,D: SUFFICIENT,D: SUFFICIENT,C: GOOD
Graduate,0,1,9500,C: GOOD,C: GOOD,C: GOOD
Graduate,0,1,8014,C: GOOD,D: SUFFICIENT,C: GOOD
Graduate,0,1,9238,D: SUFFICIENT,D: SUFFICIENT,D: SUFFICIENT
Graduate,0,1,9254,D: SUFFICIENT,C: GOOD,C: GOOD
Enrolled,0,1,9500,D: SUFFICIENT,D: SUFFICIENT,D: SUFFICIENT
